source,target
france,germany
germany,italy
germany,italy
germany,italy
germany,italy
germany,italy
germany,italy
germany,italy
austria,germany
austria,germany
germany,italy
austria,germany
austria,germany
germany,spain
austria,germany
austria,germany
germany,spain
france,spain
france,poland
austria,germany
austria,germany
germany,spain
france,spain
france,poland
austria,germany
germany,spain
france,spain
france,poland
france,poland
france,germany
germany,poland
france,spain
france,poland
france,poland
france,germany
germany,poland
france,poland
france,poland
france,germany
germany,poland
germany,poland
france,poland
france,germany
germany,poland
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
france,germany
germany,poland
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
finland,lithuania
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
finland,lithuania
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
finland,lithuania
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
estonia,latvia
latvia,lithuania
finland,lithuania
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
belgium,denmark
denmark,norway
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
belgium,denmark
denmark,norway
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
belgium,denmark
denmark,norway
denmark,norway
denmark,sweden
germany,sweden
belgium,denmark
denmark,norway
denmark,norway
denmark,sweden
germany,sweden
france,germany
denmark,norway
denmark,norway
denmark,sweden
germany,sweden
france,germany
denmark,norway
denmark,sweden
germany,sweden
france,germany
denmark,norway
denmark,sweden
germany,sweden
france,germany
france,italy
france,italy
germany,italy
france,italy
germany,italy
germany,greece
albania,greece
albania,greece
france,italy
germany,italy
germany,greece
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
germany,italy
germany,greece
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
belarus,libya
egypt,libya
germany,greece
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
belarus,libya
egypt,libya
egypt,libya
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
belarus,libya
egypt,libya
egypt,libya
egypt,libya
belarus,ukraine
belarus,libya
egypt,libya
egypt,libya
egypt,libya
egypt,iraq
egypt,libya
egypt,libya
egypt,libya
egypt,iraq
iraq,japan
germany,japan
egypt,libya
egypt,iraq
iraq,japan
germany,japan
germany,japan
egypt,iraq
iraq,japan
germany,japan
