source,target,weight
germany,japan,31
germany,poland,28
france,germany,28
germany,italy,25
india,japan,18
india,pakistan,15
japan,solomon islands,14
japan,philippines,13
italy,japan,13
egypt,libya,13
france,italy,12
denmark,norway,10
israel,south africa,10
albania,greece,10
estonia,latvia,10
finland,germany,9
france,poland,9
finland,lithuania,9
pakistan,philippines,9
austria,germany,9
france,japan,8
cambodia,vietnam,8
germany,iran,8
germany,greece,8
latvia,lithuania,5
poland,romania,5
finland,romania,5
luxembourg,netherlands,5
france,india,5
hungary,romania,5
japan,thailand,5
germany,sweden,5
israel,pakistan,5
germany,norway,5
iran,libya,5
ghana,kenya,5
singapore,thailand,5
estonia,lithuania,5
cambodia,laos,5
albania,bulgaria,5
algeria,morocco,5
angola,cape verde,5
angola,mozambique,5
australia,canada,5
belgium,netherlands,5
belgium,poland,5
bulgaria,poland,5
cambodia,kenya,5
belarus,ukraine,5
cuba,mongolia,5
denmark,sweden,5
cape verde,ghana,4
laos,philippines,4
austria,rwanda,4
austria,poland,4
australia,vietnam,4
japan,poland,4
japan,singapore,4
cuba,vietnam,4
egypt,iraq,4
canada,cuba,4
latvia,mozambique,4
lebanon,vietnam,4
algeria,italy,4
albania,romania,4
philippines,solomon islands,4
estonia,germany,4
romania,vietnam,4
rwanda,south africa,4
israel,libya,4
israel,japan,4
iraq,japan,4
belarus,libya,4
germany,india,4
germany,morocco,4
cuba,japan,4
france,spain,4
germany,spain,4
afghanistan,romania,4
france,norway,4
greece,italy,4
greece,ukraine,4
hungary,mongolia,4
belgium,luxembourg,4
belgium,denmark,4
india,lebanon,4
finland,poland,4
india,singapore,4
india,south africa,4
iran,israel,4
afghanistan,philippines,4
